Provinsi,Tahun,PDRB_per_kapita_Rupiah,satuan
SULAWESI UTARA,2022,59020570.0,RIBU RUPIAH
SULAWESI TENGAH,2022,106068470.0,RIBU RUPIAH
SULAWESI SELATAN,2022,65353290.0,RIBU RUPIAH
SULAWESI TENGGARA,2022,58714730.0,RIBU RUPIAH
GORONTALO,2022,39690940.0,RIBU RUPIAH
SULAWESI BARAT,2022,37033820.0,RIBU RUPIAH
MALUKU,2022,28536540.0,RIBU RUPIAH
MALUKU UTARA,2022,53776270.0,RIBU RUPIAH
PAPUA BARAT,2022,78132750.0,RIBU RUPIAH
PAPUA,2022,59383620.0,RIBU RUPIAH
ACEH,2023,41407590.0,RIBU RUPIAH
SUMATERA UTARA,2023,68305710.0,RIBU RUPIAH
SUMATERA BARAT,2023,54326600.0,RIBU RUPIAH
RIAU,2023,154522280.0,RIBU RUPIAH
JAMBI,2023,79849560.0,RIBU RUPIAH
SUMATERA SELATAN,2023,71958270.0,RIBU RUPIAH
BENGKULU,2023,46300490.0,RIBU RUPIAH
LAMPUNG,2023,48191040.0,RIBU RUPIAH
KEPULAUAN BANGKA BELITUNG,2023,67813240.0,RIBU RUPIAH
KEPULAUAN RIAU,2023,154065160.0,RIBU RUPIAH
DKI JAKARTA,2023,322619370.0,RIBU RUPIAH
JAWA BARAT,2023,52651590.0,RIBU RUPIAH
JAWA TENGAH,2023,45167240.0,RIBU RUPIAH
DI YOGYAKARTA,2023,48359850.0,RIBU RUPIAH
JAWA TIMUR,2023,71121930.0,RIBU RUPIAH
BANTEN,2023,66147200.0,RIBU RUPIAH
BALI,2023,62293790.0,RIBU RUPIAH
NUSA TENGGARA BARAT,2023,29925690.0,RIBU RUPIAH
NUSA TENGGARA TIMUR,2023,23077980.0,RIBU RUPIAH
KALIMANTAN BARAT,2023,48808920.0,RIBU RUPIAH
KALIMANTAN TENGAH,2023,75271230.0,RIBU RUPIAH
KALIMANTAN SELATAN,2023,63754330.0,RIBU RUPIAH
KALIMANTAN TIMUR,2023,215761420.0,RIBU RUPIAH
KALIMANTAN UTARA,2023,201748780.0,RIBU RUPIAH
SULAWESI UTARA,2023,64130960.0,RIBU RUPIAH
SULAWESI TENGAH,2023,112461010.0,RIBU RUPIAH
SULAWESI SELATAN,2023,69710310.0,RIBU RUPIAH
SULAWESI TENGGARA,2023,64088400.0,RIBU RUPIAH
GORONTALO,2023,42340500.0,RIBU RUPIAH
SULAWESI BARAT,2023,39546930.0,RIBU RUPIAH
MALUKU,2023,30455060.0,RIBU RUPIAH
MALUKU UTARA,2023,63675180.0,RIBU RUPIAH
PAPUA BARAT,2023,108110280.0,RIBU RUPIAH
PAPUA BARAT DAYA,2023,58450280.0,RIBU RUPIAH
PAPUA,2023,78055480.0,RIBU RUPIAH
PAPUA SELATAN,2023,58676670.0,RIBU RUPIAH
PAPUA TENGAH,2023,103508090.0,RIBU RUPIAH
PAPUA PEGUNUNGAN,2023,16869970.0,RIBU RUPIAH
ACEH,2024,43782210.0,RIBU RUPIAH
SUMATERA UTARA,2024,73574620.0,RIBU RUPIAH
SUMATERA BARAT,2024,57047210.0,RIBU RUPIAH
RIAU,2024,165349710.0,RIBU RUPIAH
JAMBI,2024,86721510.0,RIBU RUPIAH
SUMATERA SELATAN,2024,75131730.0,RIBU RUPIAH
BENGKULU,2024,49233120.0,RIBU RUPIAH
LAMPUNG,2024,51369890.0,RIBU RUPIAH
KEPULAUAN BANGKA BELITUNG,2024,70194390.0,RIBU RUPIAH
KEPULAUAN RIAU,2024,161424320.0,RIBU RUPIAH
DKI JAKARTA,2024,344349760.0,RIBU RUPIAH
JAWA BARAT,2024,56079610.0,RIBU RUPIAH
JAWA TENGAH,2024,47972220.0,RIBU RUPIAH
DI YOGYAKARTA,2024,51473440.0,RIBU RUPIAH
JAWA TIMUR,2024,75770260.0,RIBU RUPIAH
BANTEN,2024,70275820.0,RIBU RUPIAH
BALI,2024,67318720.0,RIBU RUPIAH
