Provinsi,Tahun,Timbulan_Tahunan_ton,Timbulan_Harian_ton,PDRB_per_kapita_Rupiah,Jumlah_Fasilitas,Infra_Sampahmasuk_ton,Jumlah_Penduduk,Realisasi_APBD
KEPULAUAN RIAU,2020,470096.39999999997,1287.93,123464790.0,1.0,228150.55,,
KEPULAUAN RIAU,2021,141982.73,389.0,131883840.0,3.0,78325.35,,0.0
KEPULAUAN RIAU,2022,586454.74,1606.73,145530480.0,9.0,393637.89999999997,,0.0
KEPULAUAN RIAU,2023,583365.7100000001,1598.27,154065160.0,8.0,411370.78,,0.0
KEPULAUAN RIAU,2024,157339.83000000002,431.07,161424320.0,6.0,78044.3,,0.0
LAMPUNG,2019,417630.88,1144.2,42172320.0,1.0,237250.0,,
LAMPUNG,2020,386922.95999999996,1060.06,39290330.0,1.0,255500.0,,
LAMPUNG,2021,500345.08,1370.81,40806710.0,4.0,184553.26,9007800.0,0.0
LAMPUNG,2022,629905.58,1725.77,44982400.0,7.0,269193.7,,0.0
LAMPUNG,2023,1530611.3599999999,4193.46,48191040.0,13.0,527690.23,,0.0
LAMPUNG,2024,1005889.96,2755.86,51369890.0,9.0,358006.02,9419600.0,0.0
MALUKU,2019,127501.04,349.32,26097040.0,,,,
MALUKU,2020,109991.62,301.35,25094360.0,,,,
MALUKU,2021,93074.44,255.0,26153050.0,4.0,25028.05,1848900.0,0.0
MALUKU,2022,73365.88,201.0,28536540.0,3.0,12380.8,,0.0
MALUKU,2023,273721.72000000003,749.9200000000001,30455060.0,8.0,122620.8,,0.0
MALUKU,2024,175890.95,481.9,32198140.0,5.0,95270.99,1945600.0,0.0
MALUKU UTARA,2019,93119.65,255.12,32124960.0,,,,
MALUKU UTARA,2020,67249.72,184.25,33069320.0,,,,
MALUKU UTARA,2021,16834.53,46.12,40381060.0,1.0,9070.25,1282900.0,0.0
MALUKU UTARA,2022,67401.48,184.66,53776270.0,2.0,23285.2,,0.0
MALUKU UTARA,2023,134127.66,367.47,63675180.0,8.0,69933.35,,0.0
MALUKU UTARA,2024,19652.42,53.84,70659570.0,6.0,45674.64,1355600.0,0.0
NUSA TENGGARA BARAT,2019,201611.65,552.36,25716110.0,,,,
NUSA TENGGARA BARAT,2020,203220.16,556.77,25183560.0,,,,
NUSA TENGGARA BARAT,2021,367512.99,1006.88,26009170.0,5.0,171840.18,5320100.0,0.0
NUSA TENGGARA BARAT,2022,814803.96,2232.33,28670720.0,9.0,289319.98,,0.0
NUSA TENGGARA BARAT,2023,458956.14,1257.41,29925690.0,5.0,169963.34999999998,,0.0
NUSA TENGGARA BARAT,2024,172403.96,472.34,32282100.0,5.0,59559.649999999994,5646000.0,0.0
NUSA TENGGARA TIMUR,2020,88742.67,243.13,20056990.0,1.0,52196.95,,
NUSA TENGGARA TIMUR,2021,153332.47999999998,420.09000000000003,20554990.0,1.0,54383.93,5325600.0,0.0
NUSA TENGGARA TIMUR,2022,162984.51,446.54,21657610.0,3.0,68534.04,,0.0
NUSA TENGGARA TIMUR,2023,642635.42,1760.65,23077980.0,13.0,143024.41,,0.0
NUSA TENGGARA TIMUR,2024,600111.54,1644.1399999999999,24271840.0,8.0,109536.11,5656000.0,0.0
PAPUA,2019,113443.75,310.8,56618950.0,1.0,67525.0,,
PAPUA,2020,123056.45999999999,337.14,46416360.0,2.0,70546.84,,
PAPUA,2021,141103.3,386.59000000000003,54050610.0,4.0,97976.95,4303700.0,0.0
PAPUA,2022,170117.55,466.07,59383620.0,7.0,127111.25,,0.0
PAPUA,2023,179477.53999999998,491.71000000000004,78055480.0,7.0,126118.45000000001,,0.0
PAPUA,2024,69616.01,190.73,81009150.0,4.0,36620.45,4542600.0,0.0
PAPUA BARAT,2018,54830.04,150.22,84958030.0,,,,
PAPUA BARAT,2020,57182.95,156.67,73932600.0,,,,
PAPUA BARAT,2021,58405.66,160.02,74021650.0,2.0,42358.14,1134100.0,0.0
PAPUA BARAT,2022,75615.42,207.16000000000003,78132750.0,3.0,47589.07,,0.0
PAPUA BARAT,2023,94595.43,259.17,108110280.0,5.0,60856.27,,0.0
PAPUA BARAT,2024,83151.96,227.81,131636450.00000001,2.0,53990.8,1205800.0,0.0
PAPUA BARAT DAYA,2019,12090.99,33.13,,,,,
PAPUA BARAT DAYA,2020,20020.54,54.85,,1.0,1131.5,,
PAPUA BARAT DAYA,2021,12310.720000000001,33.73,,2.0,2000.2,,0.0
PAPUA BARAT DAYA,2022,18162.69,49.76,,1.0,5179.35,,0.0
PAPUA BARAT DAYA,2023,89701.75,245.76000000000002,58450280.0,4.0,16585.6,,0.0
PAPUA BARAT DAYA,2024,18974.6,51.99,59063540.0,3.0,10106.85,,0.0
PAPUA PEGUNUNGAN,2021,29483.24,80.78,,1.0,316.8,,0.0
PAPUA PEGUNUNGAN,2023,41244.56,113.0,16869970.0,1.0,10840.5,,0.0
PAPUA SELATAN,2019,14233.54,39.0,,1.0,2007.5,,
PAPUA SELATAN,2020,16075.33,44.04,,1.0,2737.5,,
PAPUA SELATAN,2021,16298.27,44.65,,1.0,3102.5,,0.0
PAPUA SELATAN,2022,60016.8,164.43,,3.0,18560.25,,0.0
PAPUA SELATAN,2023,26483.38,72.56,58676670.0,3.0,12362.55,,0.0
PAPUA SELATAN,2024,17305.38,47.41,61583450.0,2.0,7270.56,,0.0
PAPUA TENGAH,2021,24693.86,67.65,,1.0,4336.2,,0.0
PAPUA TENGAH,2022,57742.09,158.2,,1.0,29901.71,,0.0
PAPUA TENGAH,2023,74326.85,203.64,103508090.0,1.0,33364.65,,0.0
PAPUA TENGAH,2024,58160.01,159.34,118773530.0,2.0,43260.9,,0.0
RIAU,2019,809051.48,2216.59,111227010.0,4.0,30021.25,,
RIAU,2020,800681.67,2193.65,114166900.0,,,,
RIAU,2021,650029.0900000001,1780.91,129740710.0,9.0,338676.21,6394100.0,0.0
RIAU,2022,856366.46,2346.2200000000003,151258970.0,17.0,449026.05,,0.0
RIAU,2023,976691.24,2675.86,154522280.0,31.0,451668.19,,0.0
RIAU,2024,753772.36,2065.14,165349710.0,23.0,439806.74,6728100.0,0.0
SULAWESI BARAT,2019,90015.43,246.62,34111830.0,,,,
SULAWESI BARAT,2020,91453.67,250.55,32836750.0,,,,
SULAWESI BARAT,2021,48327.899999999994,132.4,35195140.0,3.0,21195.55,1419200.0,0.0
SULAWESI BARAT,2022,45956.42,125.91,37033820.0,3.0,23875.02,,0.0
SULAWESI BARAT,2023,98467.95,269.78,39546930.0,3.0,20370.29,,0.0
SULAWESI BARAT,2024,86460.29,236.88,42717880.0,2.0,17703.22,1503200.0,0.0
SULAWESI SELATAN,2019,719270.89,1970.6,57182140.0,,,,
SULAWESI SELATAN,2020,1123807.02,3078.9300000000003,55675030.0,1.0,255784.71,,
SULAWESI SELATAN,2021,1216987.46,3334.2,59502640.0,20.0,730684.38,9073500.0,0.0
SULAWESI SELATAN,2022,1317276.45,3608.99,65353290.0,23.0,743595.08,,0.0
SULAWESI SELATAN,2023,1582378.1,4335.28,69710310.0,26.0,900057.88,,0.0
SULAWESI SELATAN,2024,1370934.1,3755.99,73573330.0,22.0,741579.88,9463400.0,0.0
SULAWESI TENGAH,2019,227061.44,622.1,61056030.0,,,,
SULAWESI TENGAH,2020,265689.17,727.92,66306270.00000001,,,,
SULAWESI TENGAH,2021,254913.08000000002,698.39,82016810.0,5.0,81712.55,2985700.0,0.0
SULAWESI TENGAH,2022,405093.07999999996,1109.84,106068470.0,10.0,147822.34,,0.0
SULAWESI TENGAH,2023,384943.78,1054.63,112461010.0,10.0,148219.41,,0.0
SULAWESI TENGAH,2024,294517.24,806.9100000000001,120749570.0,8.0,91290.15,3121800.0,0.0
SULAWESI TENGGARA,2019,91459.73,250.57999999999998,48514150.0,,,,
SULAWESI TENGGARA,2020,36945.01,101.22,49718150.0,,,,
SULAWESI TENGGARA,2021,125445.34,343.69,52436020.0,2.0,79902.15,2624900.0,0.0
SULAWESI TENGGARA,2022,264182.13,723.79,58714730.0,7.0,135163.15,,0.0
SULAWESI TENGGARA,2023,437958.45999999996,1199.87,64088400.0,14.0,174035.66,,0.0
SULAWESI TENGGARA,2024,250041.53,685.05,67839910.0,6.0,119594.99,2793100.0,0.0
SULAWESI UTARA,2019,324890.49,890.1,52173020.0,1.0,7829.25,,
SULAWESI UTARA,2020,292945.4,802.6,50521130.0,,,,
